pred_name,csv_model,alpha,bandwidth_km,precision_at_10,recall_at_10,ndcg_at_10,delta_ndcg,base_ndcg
kgat_all,KGAT,0.6,50.0,0.0919,0.0919,0.0478,0.0086,0.0392
kgat_all,KGAT,0.7,50.0,0.0934,0.0934,0.0485,0.0093,0.0392
kgat_sal_all_T3_nospatial,KGAT-SAL,0.1,5.0,0.0717,0.0717,0.0379,0.0027,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.2,5.0,0.078,0.078,0.0412,0.006,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.3,5.0,0.0841,0.0841,0.0446,0.0094,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.4,5.0,0.0896,0.0896,0.0479,0.0127,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.5,5.0,0.0927,0.0927,0.0499,0.0147,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.6,5.0,0.0939,0.0939,0.0506,0.0154,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.7,5.0,0.0946,0.0946,0.0508,0.0156,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.1,10.0,0.0719,0.0719,0.038,0.0028,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.2,10.0,0.0778,0.0778,0.0412,0.006,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.3,10.0,0.0841,0.0841,0.0445,0.0093,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.4,10.0,0.0894,0.0894,0.0476,0.0124,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.5,10.0,0.0929,0.0929,0.0497,0.0145,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.6,10.0,0.0945,0.0945,0.0506,0.0154,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.7,10.0,0.0951,0.0951,0.051,0.0158,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.1,20.0,0.0718,0.0718,0.0379,0.0027,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.2,20.0,0.0775,0.0775,0.0409,0.0057,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.3,20.0,0.0835,0.0835,0.0441,0.0089,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.4,20.0,0.0886,0.0886,0.047,0.0118,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.5,20.0,0.092,0.092,0.049,0.0138,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.6,20.0,0.0938,0.0938,0.05,0.0148,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.7,20.0,0.0948,0.0948,0.0507,0.0155,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.1,50.0,0.0714,0.0714,0.0377,0.0025,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.2,50.0,0.0767,0.0767,0.0404,0.0052,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.3,50.0,0.0818,0.0818,0.0431,0.0079,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.4,50.0,0.0865,0.0865,0.0457,0.0105,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.5,50.0,0.0899,0.0899,0.0476,0.0124,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.6,50.0,0.092,0.092,0.0488,0.0136,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.7,50.0,0.0936,0.0936,0.0498,0.0146,0.0352
radar_all,RaDAR,0.1,5.0,0.055,0.055,0.0289,0.0026,0.0263
radar_all,RaDAR,0.2,5.0,0.0607,0.0607,0.032,0.0057,0.0263
radar_all,RaDAR,0.3,5.0,0.0673,0.0673,0.0356,0.0093,0.0263
radar_all,RaDAR,0.4,5.0,0.0729,0.0729,0.039,0.0127,0.0263
radar_all,RaDAR,0.5,5.0,0.0758,0.0758,0.0414,0.0151,0.0263
radar_all,RaDAR,0.6,5.0,0.0771,0.0771,0.0423,0.016,0.0263
radar_all,RaDAR,0.7,5.0,0.078,0.078,0.0427,0.0164,0.0263
radar_all,RaDAR,0.1,10.0,0.0551,0.0551,0.0289,0.0026,0.0263
radar_all,RaDAR,0.2,10.0,0.061,0.061,0.0321,0.0058,0.0263
radar_all,RaDAR,0.3,10.0,0.0673,0.0673,0.0355,0.0092,0.0263
radar_all,RaDAR,0.4,10.0,0.0729,0.0729,0.0388,0.0125,0.0263
radar_all,RaDAR,0.5,10.0,0.0764,0.0764,0.0413,0.015,0.0263
radar_all,RaDAR,0.6,10.0,0.0778,0.0778,0.0422,0.0159,0.0263
radar_all,RaDAR,0.7,10.0,0.0785,0.0785,0.0427,0.0164,0.0263
radar_all,RaDAR,0.1,20.0,0.0552,0.0552,0.0289,0.0026,0.0263
radar_all,RaDAR,0.2,20.0,0.0607,0.0607,0.0318,0.0055,0.0263
radar_all,RaDAR,0.3,20.0,0.0667,0.0667,0.0351,0.0088,0.0263
radar_all,RaDAR,0.4,20.0,0.0722,0.0722,0.0382,0.0119,0.0263
radar_all,RaDAR,0.5,20.0,0.0755,0.0755,0.0405,0.0142,0.0263
radar_all,RaDAR,0.6,20.0,0.0773,0.0773,0.0417,0.0154,0.0263
radar_all,RaDAR,0.7,20.0,0.0784,0.0784,0.0423,0.016,0.0263
radar_all,RaDAR,0.1,50.0,0.0548,0.0548,0.0287,0.0024,0.0263
radar_all,RaDAR,0.2,50.0,0.0598,0.0598,0.0313,0.005,0.0263
radar_all,RaDAR,0.3,50.0,0.0652,0.0652,0.0342,0.0079,0.0263
radar_all,RaDAR,0.4,50.0,0.07,0.07,0.0369,0.0106,0.0263
radar_all,RaDAR,0.5,50.0,0.073,0.073,0.0389,0.0126,0.0263
radar_all,RaDAR,0.6,50.0,0.0753,0.0753,0.0402,0.0139,0.0263
radar_all,RaDAR,0.7,50.0,0.077,0.077,0.0413,0.015,0.0263
infonce_all,InfoNCE,0.1,5.0,0.0963,0.0963,0.0492,0.0013,0.0479
infonce_all,InfoNCE,0.2,5.0,0.0988,0.0988,0.0504,0.0025,0.0479
infonce_all,InfoNCE,0.3,5.0,0.1009,0.1009,0.0516,0.0037,0.0479
infonce_all,InfoNCE,0.4,5.0,0.1021,0.1021,0.0523,0.0044,0.0479
infonce_all,InfoNCE,0.5,5.0,0.1023,0.1023,0.052,0.0041,0.0479
infonce_all,InfoNCE,0.6,5.0,0.1021,0.1021,0.0518,0.0039,0.0479
infonce_all,InfoNCE,0.7,5.0,0.1015,0.1015,0.0514,0.0035,0.0479
infonce_all,InfoNCE,0.1,10.0,0.0962,0.0962,0.0491,0.0012,0.0479
infonce_all,InfoNCE,0.2,10.0,0.0985,0.0985,0.0502,0.0023,0.0479
infonce_all,InfoNCE,0.3,10.0,0.1005,0.1005,0.0513,0.0034,0.0479
infonce_all,InfoNCE,0.4,10.0,0.1014,0.1014,0.0518,0.0039,0.0479
infonce_all,InfoNCE,0.5,10.0,0.102,0.102,0.0517,0.0038,0.0479
infonce_all,InfoNCE,0.6,10.0,0.102,0.102,0.0517,0.0038,0.0479
infonce_all,InfoNCE,0.7,10.0,0.1012,0.1012,0.0515,0.0036,0.0479
infonce_all,InfoNCE,0.1,20.0,0.096,0.096,0.049,0.0011,0.0479
infonce_all,InfoNCE,0.2,20.0,0.0978,0.0978,0.0499,0.002,0.0479
infonce_all,InfoNCE,0.3,20.0,0.0998,0.0998,0.0509,0.003,0.0479
infonce_all,InfoNCE,0.4,20.0,0.1007,0.1007,0.0513,0.0034,0.0479
infonce_all,InfoNCE,0.5,20.0,0.1014,0.1014,0.0514,0.0035,0.0479
infonce_all,InfoNCE,0.6,20.0,0.1015,0.1015,0.0515,0.0036,0.0479
infonce_all,InfoNCE,0.7,20.0,0.1014,0.1014,0.0514,0.0035,0.0479
infonce_all,InfoNCE,0.1,50.0,0.0958,0.0958,0.0488,0.0009,0.0479
infonce_all,InfoNCE,0.2,50.0,0.0973,0.0973,0.0496,0.0017,0.0479
infonce_all,InfoNCE,0.3,50.0,0.0988,0.0988,0.0504,0.0025,0.0479
infonce_all,InfoNCE,0.4,50.0,0.0997,0.0997,0.0508,0.0029,0.0479
infonce_all,InfoNCE,0.5,50.0,0.1006,0.1006,0.051,0.0031,0.0479
infonce_all,InfoNCE,0.6,50.0,0.1012,0.1012,0.0513,0.0034,0.0479
infonce_all,InfoNCE,0.7,50.0,0.1014,0.1014,0.0514,0.0035,0.0479
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.1,5.0,0.0707,0.0707,0.0374,0.0029,0.0345
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.2,5.0,0.077,0.077,0.0408,0.0063,0.0345
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.3,5.0,0.084,0.084,0.0446,0.0101,0.0345
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.4,5.0,0.0897,0.0897,0.048,0.0135,0.0345
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.5,5.0,0.0928,0.0928,0.0501,0.0156,0.0345
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.6,5.0,0.0943,0.0943,0.0508,0.0163,0.0345
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.7,5.0,0.095,0.095,0.051,0.0165,0.0345
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.1,10.0,0.0708,0.0708,0.0374,0.0029,0.0345
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.2,10.0,0.0771,0.0771,0.0408,0.0063,0.0345
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.3,10.0,0.0838,0.0838,0.0443,0.0098,0.0345
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.4,10.0,0.0897,0.0897,0.0477,0.0132,0.0345
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.5,10.0,0.0933,0.0933,0.05,0.0155,0.0345
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.6,10.0,0.0949,0.0949,0.0509,0.0164,0.0345
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.7,10.0,0.0956,0.0956,0.0513,0.0168,0.0345
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.1,20.0,0.0707,0.0707,0.0373,0.0028,0.0345
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.2,20.0,0.0768,0.0768,0.0405,0.006,0.0345
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.3,20.0,0.083,0.083,0.0439,0.0094,0.0345
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.4,20.0,0.0888,0.0888,0.047,0.0125,0.0345
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.5,20.0,0.0925,0.0925,0.0493,0.0148,0.0345
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.6,20.0,0.0945,0.0945,0.0505,0.016,0.0345
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.7,20.0,0.0956,0.0956,0.0511,0.0166,0.0345
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.1,50.0,0.0703,0.0703,0.0371,0.0026,0.0345
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.2,50.0,0.0758,0.0758,0.04,0.0055,0.0345
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.3,50.0,0.0814,0.0814,0.043,0.0085,0.0345
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.4,50.0,0.0868,0.0868,0.0458,0.0113,0.0345
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.5,50.0,0.0903,0.0903,0.0479,0.0134,0.0345
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.6,50.0,0.0927,0.0927,0.0492,0.0147,0.0345
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.7,50.0,0.0941,0.0941,0.0502,0.0157,0.0345
kgat_all,KGAT,0.1,5.0,0.0783,0.0783,0.0413,0.0021,0.0392
kgat_all,KGAT,0.2,5.0,0.0831,0.0831,0.0437,0.0045,0.0392
kgat_all,KGAT,0.3,5.0,0.0879,0.0879,0.0461,0.0069,0.0392
kgat_all,KGAT,0.4,5.0,0.0915,0.0915,0.0479,0.0087,0.0392
kgat_all,KGAT,0.5,5.0,0.0935,0.0935,0.0489,0.0097,0.0392
kgat_all,KGAT,0.6,5.0,0.0943,0.0943,0.0492,0.01,0.0392
kgat_all,KGAT,0.7,5.0,0.0947,0.0947,0.0493,0.0101,0.0392
kgat_all,KGAT,0.1,10.0,0.0783,0.0783,0.0413,0.0021,0.0392
kgat_all,KGAT,0.2,10.0,0.0829,0.0829,0.0435,0.0043,0.0392
kgat_all,KGAT,0.3,10.0,0.0874,0.0874,0.0458,0.0066,0.0392
kgat_all,KGAT,0.4,10.0,0.091,0.091,0.0476,0.0084,0.0392
kgat_all,KGAT,0.5,10.0,0.0934,0.0934,0.0487,0.0095,0.0392
kgat_all,KGAT,0.6,10.0,0.0947,0.0947,0.0493,0.0101,0.0392
kgat_all,KGAT,0.7,10.0,0.0949,0.0949,0.0494,0.0102,0.0392
kgat_all,KGAT,0.1,20.0,0.078,0.078,0.0411,0.0019,0.0392
kgat_all,KGAT,0.2,20.0,0.0825,0.0825,0.0433,0.0041,0.0392
kgat_all,KGAT,0.3,20.0,0.0865,0.0865,0.0453,0.0061,0.0392
kgat_all,KGAT,0.4,20.0,0.0899,0.0899,0.0469,0.0077,0.0392
kgat_all,KGAT,0.5,20.0,0.0923,0.0923,0.0481,0.0089,0.0392
kgat_all,KGAT,0.6,20.0,0.0938,0.0938,0.0488,0.0096,0.0392
kgat_all,KGAT,0.7,20.0,0.0947,0.0947,0.0493,0.0101,0.0392
kgat_all,KGAT,0.1,50.0,0.0778,0.0778,0.041,0.0018,0.0392
kgat_all,KGAT,0.2,50.0,0.0815,0.0815,0.0427,0.0035,0.0392
kgat_all,KGAT,0.3,50.0,0.085,0.085,0.0445,0.0053,0.0392
kgat_all,KGAT,0.4,50.0,0.0879,0.0879,0.046,0.0068,0.0392
kgat_all,KGAT,0.5,50.0,0.0901,0.0901,0.0469,0.0077,0.0392
kgat_all,KGAT,0.6,50.0,0.0919,0.0919,0.0478,0.0086,0.0392
kgat_all,KGAT,0.7,50.0,0.0934,0.0934,0.0485,0.0093,0.0392
kgat_sal_all_T3_nospatial,KGAT-SAL,0.1,5.0,0.0717,0.0717,0.0379,0.0027,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.2,5.0,0.078,0.078,0.0412,0.006,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.3,5.0,0.0841,0.0841,0.0446,0.0094,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.4,5.0,0.0896,0.0896,0.0479,0.0127,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.5,5.0,0.0927,0.0927,0.0499,0.0147,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.6,5.0,0.0939,0.0939,0.0506,0.0154,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.7,5.0,0.0946,0.0946,0.0508,0.0156,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.1,10.0,0.0719,0.0719,0.038,0.0028,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.2,10.0,0.0778,0.0778,0.0412,0.006,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.3,10.0,0.0841,0.0841,0.0445,0.0093,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.4,10.0,0.0894,0.0894,0.0476,0.0124,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.5,10.0,0.0929,0.0929,0.0497,0.0145,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.6,10.0,0.0945,0.0945,0.0506,0.0154,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.7,10.0,0.0951,0.0951,0.051,0.0158,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.1,20.0,0.0718,0.0718,0.0379,0.0027,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.2,20.0,0.0775,0.0775,0.0409,0.0057,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.3,20.0,0.0835,0.0835,0.0441,0.0089,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.4,20.0,0.0886,0.0886,0.047,0.0118,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.5,20.0,0.092,0.092,0.049,0.0138,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.6,20.0,0.0938,0.0938,0.05,0.0148,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.7,20.0,0.0948,0.0948,0.0507,0.0155,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.1,50.0,0.0714,0.0714,0.0377,0.0025,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.2,50.0,0.0767,0.0767,0.0404,0.0052,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.3,50.0,0.0818,0.0818,0.0431,0.0079,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.4,50.0,0.0865,0.0865,0.0457,0.0105,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.5,50.0,0.0899,0.0899,0.0476,0.0124,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.6,50.0,0.092,0.092,0.0488,0.0136,0.0352
kgat_sal_all_T3_nospatial,KGAT-SAL,0.7,50.0,0.0936,0.0936,0.0498,0.0146,0.0352
radar_all,RaDAR,0.1,5.0,0.055,0.055,0.0289,0.0026,0.0263
radar_all,RaDAR,0.2,5.0,0.0607,0.0607,0.032,0.0057,0.0263
radar_all,RaDAR,0.3,5.0,0.0673,0.0673,0.0356,0.0093,0.0263
radar_all,RaDAR,0.4,5.0,0.0729,0.0729,0.039,0.0127,0.0263
radar_all,RaDAR,0.5,5.0,0.0758,0.0758,0.0414,0.0151,0.0263
radar_all,RaDAR,0.6,5.0,0.0771,0.0771,0.0423,0.016,0.0263
radar_all,RaDAR,0.7,5.0,0.078,0.078,0.0427,0.0164,0.0263
radar_all,RaDAR,0.1,10.0,0.0551,0.0551,0.0289,0.0026,0.0263
radar_all,RaDAR,0.2,10.0,0.061,0.061,0.0321,0.0058,0.0263
radar_all,RaDAR,0.3,10.0,0.0673,0.0673,0.0355,0.0092,0.0263
radar_all,RaDAR,0.4,10.0,0.0729,0.0729,0.0388,0.0125,0.0263
radar_all,RaDAR,0.5,10.0,0.0764,0.0764,0.0413,0.015,0.0263
radar_all,RaDAR,0.6,10.0,0.0778,0.0778,0.0422,0.0159,0.0263
radar_all,RaDAR,0.7,10.0,0.0785,0.0785,0.0427,0.0164,0.0263
radar_all,RaDAR,0.1,20.0,0.0552,0.0552,0.0289,0.0026,0.0263
radar_all,RaDAR,0.2,20.0,0.0607,0.0607,0.0318,0.0055,0.0263
radar_all,RaDAR,0.3,20.0,0.0667,0.0667,0.0351,0.0088,0.0263
radar_all,RaDAR,0.4,20.0,0.0722,0.0722,0.0382,0.0119,0.0263
radar_all,RaDAR,0.5,20.0,0.0755,0.0755,0.0405,0.0142,0.0263
radar_all,RaDAR,0.6,20.0,0.0773,0.0773,0.0417,0.0154,0.0263
radar_all,RaDAR,0.7,20.0,0.0784,0.0784,0.0423,0.016,0.0263
radar_all,RaDAR,0.1,50.0,0.0548,0.0548,0.0287,0.0024,0.0263
radar_all,RaDAR,0.2,50.0,0.0598,0.0598,0.0313,0.005,0.0263
radar_all,RaDAR,0.3,50.0,0.0652,0.0652,0.0342,0.0079,0.0263
radar_all,RaDAR,0.4,50.0,0.07,0.07,0.0369,0.0106,0.0263
radar_all,RaDAR,0.5,50.0,0.073,0.073,0.0389,0.0126,0.0263
radar_all,RaDAR,0.6,50.0,0.0753,0.0753,0.0402,0.0139,0.0263
radar_all,RaDAR,0.7,50.0,0.077,0.077,0.0413,0.015,0.0263
infonce_all,InfoNCE,0.1,5.0,0.0963,0.0963,0.0492,0.0013,0.0479
infonce_all,InfoNCE,0.2,5.0,0.0988,0.0988,0.0504,0.0025,0.0479
infonce_all,InfoNCE,0.3,5.0,0.1009,0.1009,0.0516,0.0037,0.0479
infonce_all,InfoNCE,0.4,5.0,0.1021,0.1021,0.0523,0.0044,0.0479
infonce_all,InfoNCE,0.5,5.0,0.1023,0.1023,0.052,0.0041,0.0479
infonce_all,InfoNCE,0.6,5.0,0.1021,0.1021,0.0518,0.0039,0.0479
infonce_all,InfoNCE,0.7,5.0,0.1015,0.1015,0.0514,0.0035,0.0479
infonce_all,InfoNCE,0.1,10.0,0.0962,0.0962,0.0491,0.0012,0.0479
infonce_all,InfoNCE,0.2,10.0,0.0985,0.0985,0.0502,0.0023,0.0479
infonce_all,InfoNCE,0.3,10.0,0.1005,0.1005,0.0513,0.0034,0.0479
infonce_all,InfoNCE,0.4,10.0,0.1014,0.1014,0.0518,0.0039,0.0479
infonce_all,InfoNCE,0.5,10.0,0.102,0.102,0.0517,0.0038,0.0479
infonce_all,InfoNCE,0.6,10.0,0.102,0.102,0.0517,0.0038,0.0479
infonce_all,InfoNCE,0.7,10.0,0.1012,0.1012,0.0515,0.0036,0.0479
infonce_all,InfoNCE,0.1,20.0,0.096,0.096,0.049,0.0011,0.0479
infonce_all,InfoNCE,0.2,20.0,0.0978,0.0978,0.0499,0.002,0.0479
infonce_all,InfoNCE,0.3,20.0,0.0998,0.0998,0.0509,0.003,0.0479
infonce_all,InfoNCE,0.4,20.0,0.1007,0.1007,0.0513,0.0034,0.0479
infonce_all,InfoNCE,0.5,20.0,0.1014,0.1014,0.0514,0.0035,0.0479
infonce_all,InfoNCE,0.6,20.0,0.1015,0.1015,0.0515,0.0036,0.0479
infonce_all,InfoNCE,0.7,20.0,0.1014,0.1014,0.0514,0.0035,0.0479
infonce_all,InfoNCE,0.1,50.0,0.0958,0.0958,0.0488,0.0009,0.0479
infonce_all,InfoNCE,0.2,50.0,0.0973,0.0973,0.0496,0.0017,0.0479
infonce_all,InfoNCE,0.3,50.0,0.0988,0.0988,0.0504,0.0025,0.0479
infonce_all,InfoNCE,0.4,50.0,0.0997,0.0997,0.0508,0.0029,0.0479
infonce_all,InfoNCE,0.5,50.0,0.1006,0.1006,0.051,0.0031,0.0479
infonce_all,InfoNCE,0.6,50.0,0.1012,0.1012,0.0513,0.0034,0.0479
infonce_all,InfoNCE,0.7,50.0,0.1014,0.1014,0.0514,0.0035,0.0479
